artista,musica,tom,sequencia
3-doors-down,here-without-you,C,Am;F5;G;Am;F5;G;Am;G;Am;F5;G;Am;G;Am;F5;G;Am;G;Am;F5;G;Am;G;Am;F5;G;C9;G;Am;F5;G;C9;G;Am;F5;G;C9;G;Am;F5;G;Am;G;Am;F;G;Am;G;Am;F;G;C9;G;Am;F5;G;C9;G;Am;F5;G;Am7(9);C9;G6/D;F5(7M/9)/C;Am7(9);C9;G6/D;F5(7M/9)/C;C9;G6/D;Am7(9);F5(7M/9)/C;G6/D;C9;G;Am;F5;G;C9;G;Am;F5;G;C9;G6/D;Am7(9);F5;G;Am7(9)
30-seconds-to-mars,the-kill-acustica,G,C5;D5;E5;B5;C5;D5;E5;B5;C5;D5;E5;B5;C5;D5;E5;B5;C5;D5;E5;B5;C5;D5;E5;B5;C5;D5;E5;B5;A5;B5;E5;C5;D5;E5;A5;B5;E5;C5;D5;E5;E5;E5;E5;C5;E5;F#5;G5;C5;D5;E5;B5;C5;D5;E5;B5
4-non-blondes,whats-up,D,A;Bm;D;A;A;B;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;A;Bm;D;A;Bm;D;A;Bm;D;A
a-banda-mais-bonita-da-cidade,oracao,G,D9;C9;D9;A;Bm7;G;G;D9;C9;D;C;D;D;A;Bm7;G;G5(5-);G5(5-)
a-bronkka,aba-reta,G,Em7;Bm7;Em7;Bm7;G;F#m;Em7;D#m;E;C;G;D#m;E;C;G;D#M;D;G;D;G;E7(9);Am;D7(9);G;E7(9);Am;D7(9);G;E7(9);Am;D7(9);D
abba,chiquitita,E
ac-dc,back-in-black,A,E5;D5;A5;E5;D5;A5;E5;D5;A5;E5;D5;A5;E5;D5;A5;E5;D5;A5;E5;D5;A5;E5;D5;A5;A5;E5;B5;A5;B5;A5;E5;B5;A5;B5;G5;D;A5;A5;G5;D;A5;A5;A5;E5;B5;A5;B5;A5;E5;B5;A5;B5;G5;D;E5;D5;A5;E5;D5;A5;E5;D5;A5;E5;D5;A5
ac-dc,highway-to-hell,D,A;D5/F#;G5;D5/F#;A;A;D5/F#;G5;D5/F#;A;A;D5/F#;G5;D5/F#;E5;A;D5;G5;D5;A;D5;A;D5/F#;G5;D5/F#;A;A;D5/F#;G5;D5/F#;E5;A;D5;G5;D5;A;D5;D;D5/G;D;G5;D;A;D5;G5;D5;A;D5;A;D5;G5;D5;A;D5
acustico-reggae,florianopolis,G#,Fm;Bbm;C7;Fm;Bbm;C7;Fm;Bbm;C7;Fm;Bbm;C7;Fm;Bbm;C7;Fm;Bbm;C7
adair-de-freitas,de-ja-hoje,A,A;E7;D;A;E7;A;E7;A;E7;A;E7;D;Ebº;A;E7;A;E7;A;E7;A;C#7;F#m;D;Ebº;A;E7;A;E7;A;E7;D;Ebº;A;E7;A;E7;A;E7;A;E7;D;Ebº;A;E7;A;E7;A;E7;A;C#7;F#m;D;Ebº;A;E7;A;E7;A;E7;D;Ebº;A;E7;A;E7;A
adam-levine,lost-stars,C,F7M;F7M;Em7;F7M;Em7;F7M;Em7;F7M;G4;G;F7M;C/G;F7M;C/G;F7M;Em7;D;Dm;G4;G;F7M;Em7;F7M;Em7;F7M;Em7;F7M;G4;G;F7M;C/G;F7M;C/G;F7M;Em7;D;Dm;G4;G;F7M;C/G;F7M;C/G;F7M;Em7;G4;G;F7M;C/G;F7M;C/G;F7M;Em7;D;Dm;G4;G;F7M;C/G;F7M;C/G;F7M;Em7;D;Dm;G4;G;D;Dm;G4;G;C/G
